station_name,direction,ToDir,station_idx,station_lon,station_lat
上海火车站(南广场),上海火车站(南广场)-白渡路中山南路,0,310100015062002,121.45116383957325,31.24952859055142
晋元路海宁路,上海火车站(南广场)-白渡路中山南路,0,310100015062003,121.46485890912518,31.24692409605086
西藏北路蒙古路,上海火车站(南广场)-白渡路中山南路,0,310100015062004,121.46675100129029,31.245576700129718
西藏中路北京东路,上海火车站(南广场)-白渡路中山南路,0,310100015062005,121.46918542821838,31.238645390923235
人民广场(福州路),上海火车站(南广场)-白渡路中山南路,0,310100015062016,121.47103783580523,31.234597313574163
人民广场(广东路),上海火车站(南广场)-白渡路中山南路,0,310100015062017,121.47235536346528,31.232644859163454
西藏南路淮海东路,上海火车站(南广场)-白渡路中山南路,0,310100015062008,121.4762670683206,31.226377778210217
老西门,上海火车站(南广场)-白渡路中山南路,0,310100015062009,121.4795897983729,31.222717034154982
小北门,上海火车站(南广场)-白渡路中山南路,0,310100015062010,121.4784796353855,31.226548032823064
老北门,上海火车站(南广场)-白渡路中山南路,0,310100015062018,121.48174063286316,31.230381704436827
新北门,上海火车站(南广场)-白渡路中山南路,0,310100015062012,121.48719982269915,31.231421308160552
小东门,上海火车站(南广场)-白渡路中山南路,0,310100015062013,121.49265969076447,31.227659348412118
大东门,上海火车站(南广场)-白渡路中山南路,0,310100015062014,121.49444340611966,31.224155332781233
白渡路中山南路,上海火车站(南广场)-白渡路中山南路,0,310100015062015,121.49890757975764,31.223053229416543
白渡路中山南路,白渡路中山南路-上海火车站(南广场),1,310100015061002,121.49880120302974,31.222978945922456
大东门,白渡路中山南路-上海火车站(南广场),1,310100015061003,121.49458896220412,31.223777946371403
小东门,白渡路中山南路-上海火车站(南广场),1,310100015061004,121.49328704074304,31.226554743258156
新北门,白渡路中山南路-上海火车站(南广场),1,310100015061005,121.48734533594833,31.231479713260608
淮海东路云南南路,白渡路中山南路-上海火车站(南广场),1,310100015061007,121.47882463042092,31.228832961240485
人民广场(广东路),白渡路中山南路-上海火车站(南广场),1,310100015061013,121.47243160588226,31.232775011026543
人民广场(福州路),白渡路中山南路-上海火车站(南广场),1,310100015061014,121.47126760116204,31.234505988959636
西藏中路北京东路,白渡路中山南路-上海火车站(南广场),1,310100015061010,121.46930078894577,31.23881162863792
海宁路晋元路,白渡路中山南路-上海火车站(南广场),1,310100015061011,121.46391100151342,31.246365874245082
上海火车站(南广场),白渡路中山南路-上海火车站(南广场),1,310100015061012,121.4511056844693,31.24953145967685
